FirstName;MiddleName;LastName;BirthYear;Age;PassportID
Rustam;Svytoslavich;Ivanov;1997;23;19650
Nikolay;Svytoslavich;Borisov;1917;103;19766
Ivan;Stanislavovich;Dmitriev;1976;44;69734
Boris;Vitalievich;Volkov;2001;19;59221
Stanislav;Evgenievich;Okunevskiy;1953;67;98745
Peter;Olegovich;Borisov;1958;62;62733
Alex;Nikolaevich;Victorov;1938;82;40763
Andrey;Vitalievich;Eliseev;2008;12;39356
Rustam;Olegovich;Lisev;1952;68;57057
Victor;Victorovich;Eliseev;1991;29;73943
Ivan;Ivanovich;Victorov;1984;36;91113
German;Ivanovich;Sobolev;2009;11;20307
Anton;Stanislavovich;Koshkin;1985;35;9042
Nikolay;Dmitrievich;Ivanov;1949;71;30722
Alex;Olegovich;Volkov;1917;103;67574
Oleg;Olegovich;Krasnov;1977;43;65489
Anton;Dmitrievich;Artemov;1915;105;97457
Artem;Evgenievich;Eliseev;1968;52;67992
Alex;Svytoslavich;Volkov;1915;105;80977
Peter;Nikolaevich;Lisev;1996;24;21246
Georgiy;Ivanovich;Ivanov;1958;62;50785
Vladislav;Victorovich;Koshkin;1948;72;84264
Bohdan;Stanislavovich;Kamishev;1915;105;56285
Arkady;Svytoslavich;Lisev;1941;79;2670
Vladislav;Svytoslavich;Ivanov;1913;107;45570
Arkady;Evgenievich;Koshkin;1990;30;61159
Arseny;Olegovich;Borisov;1975;45;7901
Evgeniy;Vasilievich;Borisov;1974;46;56920
Arseny;Vitalievich;Lisev;1911;109;26731
Victor;Ivanovich;Rogkov;1950;70;86986
Vasiliy;Vitalievich;Moryashov;2008;12;18301
Anton;Olegovich;Rogkov;2016;4;19736
Andrey;Victorovich;Kamishev;2003;17;89034
Svaytoslav;Olegovich;Moryashov;1939;81;25064
Oleg;Victorovich;Nikitin;1988;32;48094
Nikolay;Borisovich;Okunevskiy;1923;97;30747
George;Ivanovich;Rogkov;1931;89;72777
Denis;Nikolaevich;Moryashov;1986;34;17413
Nikolay;Vladimirovich;Krasnov;2002;18;55665
German;Victorovich;Fedoro;1980;40;23166
Stanislav;Evgenievich;Victorov;1912;108;76921
Ivan;Nikolaevich;Ivanov;1948;72;64387
Victor;Vasilievich;Koshkin;1919;101;54518
Alex;Svytoslavich;Krasnov;2006;14;53547
George;Nikolaevich;Dmitriev;1938;82;42680
Arkady;Ivanovich;Petrov;1972;48;70940
Evgeniy;Borisovich;Okunevskiy;1942;78;86437
Svaytoslav;Victorovich;Rzhevskiy;1994;26;87191
Nikita;Olegovich;Artemov;1958;62;10763
Victor;Borisovich;Koshkin;1928;92;85
Slava;Victorovich;Petrov;1919;101;38566
Alex;Borisovich;Nikitin;1925;95;4846
Victor;Nikolaevich;Kamishev;1981;39;5365
Nikita;Stanislavovich;Koshkin;1912;108;24259
Rustam;Stanislavovich;Rogkov;1912;108;82604
Ivan;Stanislavovich;Borisov;2018;2;46342
Stanislav;Vladimirovich;Rogkov;1947;73;48060
Vladislav;Dmitrievich;Kamishev;1993;27;15088
Artem;Vitalievich;Kamishev;1995;25;64165
Svaytoslav;Evgenievich;Krasnov;1941;79;56715
Georgiy;Petrovich;Eliseev;1937;83;54667
Arnold;Evgenievich;Krasnov;1994;26;62337
Boris;Victorovich;Eliseev;2018;2;20462
Svaytoslav;Olegovich;Borisov;2011;9;50553
Arnold;Vasilievich;Okunevskiy;2013;7;18292
Vitaliy;Ivanovich;Eliseev;2013;7;62508
Dmitriy;Stanislavovich;Ivanov;1971;49;54448
Boris;Nikolaevich;Kamishev;1924;96;60090
Dmitriy;Olegovich;Krasnov;1946;74;31595
Slava;Vasilievich;Koshkin;1934;86;67851
Peter;Ivanovich;Artemov;1998;22;43507
Vladimir;Svytoslavich;Volkov;1924;96;82732
Oleg;Olegovich;Moryashov;1981;39;51448
Oleg;Victorovich;Kamishev;1961;59;36326
Vasiliy;Olegovich;Rzhevskiy;1960;60;10867
Arkady;Victorovich;Ivanov;1955;65;93612
Nikolay;Olegovich;Fedoro;1922;98;59111
Vasiliy;Stanislavovich;Borisov;1985;35;73155
Nikita;Vitalievich;Victorov;1998;22;37818
Denis;Victorovich;Fedoro;1928;92;38825
Peter;Petrovich;Nikitin;2015;5;19025
German;Vladimirovich;Sobolev;1931;89;4623
Yuriy;Victorovich;Okunevskiy;1910;110;44862
Boris;Borisovich;Dmitriev;1964;56;74938
Vitaliy;Petrovich;Petrov;2011;9;89382
Arkady;Nikolaevich;Dmitriev;1979;41;74721
Yuriy;Ivanovich;Ribin;1997;23;19962
George;Nikolaevich;Artemov;1996;24;70415
Vladimir;Vitalievich;Borisov;2010;10;87554
Evgeniy;Vladimirovich;Volkov;1963;57;5258
Slava;Nikolaevich;Rogkov;1993;27;21973
Ivan;Nikolaevich;Krasnov;1913;107;34586
Alex;Victorovich;Koshkin;2017;3;63554
Georgiy;Ivanovich;Okunevskiy;1918;102;10098
Ivan;Olegovich;Ribin;1943;77;37382
Arseny;Nikolaevich;Rzhevskiy;1936;84;89788
Vitaliy;Vladimirovich;Fedoro;1935;85;84615
Andrey;Olegovich;Rzhevskiy;1977;43;4089
Peter;Olegovich;Volkov;1959;61;18506
Andrey;Stanislavovich;Artemov;2010;10;52259
Oleg;Evgenievich;Kamishev;2005;15;84020
Ivan;Svytoslavich;Victorov;1928;92;97375
Oleg;Vitalievich;Ivanov;1980;40;81270
Oleg;Borisovich;Sobolev;1989;31;37507
Slava;Olegovich;Okunevskiy;1913;107;77349
Boris;Nikolaevich;Fedoro;1956;64;15659
Nikita;Ivanovich;Fedoro;1992;28;90652
Stanislav;Nikolaevich;Rogkov;1935;85;55659
Evgeniy;Borisovich;Lisev;1969;51;99179
Arkady;Stanislavovich;Fedoro;1999;21;37104
German;Nikolaevich;Borisov;1953;67;11978
Victor;Olegovich;Fedoro;2013;7;12506
Arkady;Olegovich;Koshkin;1934;86;63475
George;Stanislavovich;Koshkin;1911;109;86413
Ivan;Vladimirovich;Victorov;1984;36;56144
Bohdan;Stanislavovich;Rogkov;1956;64;81838
Oleg;Olegovich;Artemov;1912;108;698
Yuriy;Svytoslavich;Ribin;1960;60;76790
Dmitriy;Stanislavovich;Ivanov;1985;35;96908
Arnold;Vitalievich;Victorov;2000;20;64662
Vladislav;Ivanovich;Rzhevskiy;1960;60;74816
Victor;Nikolaevich;Dmitriev;1978;42;40388
German;Nikolaevich;Victorov;1975;45;88387
Boris;Olegovich;Volkov;1968;52;1007
Denis;Borisovich;Koshkin;1986;34;33295
Vladislav;Ivanovich;Borisov;1914;106;37821
Vitaliy;Evgenievich;Okunevskiy;2016;4;60881
Vladislav;Dmitrievich;Koshkin;1943;77;49858
Nikolay;Olegovich;Lisev;1995;25;93288
Vladislav;Ivanovich;Victorov;1971;49;87441
Vitaliy;Vladimirovich;Eliseev;2005;15;23108
Peter;Vasilievich;Okunevskiy;1973;47;2877
Denis;Nikolaevich;Moryashov;1938;82;16983
Vasiliy;Ivanovich;Dmitriev;2015;5;4928
Nikolay;Svytoslavich;Victorov;1966;54;49055
Rustam;Olegovich;Moryashov;1942;78;47575
Rustam;Evgenievich;Artemov;2001;19;79442
Evgeniy;Petrovich;Okunevskiy;1944;76;93917
Maxim;Evgenievich;Eliseev;1924;96;77489
Artem;Olegovich;Ivanov;1914;106;45478
Arkady;Olegovich;Ivanov;1933;87;81853
Evgeniy;Victorovich;Krasnov;1942;78;78142
Nikita;Borisovich;Fedoro;1964;56;2301
Nikolay;Nikolaevich;Volkov;1988;32;40980
Peter;Vladimirovich;Nikitin;1991;29;13473
Dmitriy;Ivanovich;Volkov;1998;22;15881
Andrey;Dmitrievich;Ivanov;1929;91;81807
Vitaliy;Petrovich;Lisev;1969;51;66490
Arkady;Olegovich;Ribin;1921;99;15323
George;Borisovich;Okunevskiy;1917;103;87231
Arseny;Svytoslavich;Artemov;1983;37;45094
Maxim;Evgenievich;Kamishev;1990;30;59480
Maxim;Dmitrievich;Nikitin;1976;44;48735
German;Ivanovich;Dmitriev;1986;34;94814
Slava;Evgenievich;Fedoro;1966;54;23581
Andrey;Ivanovich;Lisev;1969;51;57078
Victor;Svytoslavich;Nikitin;1941;79;21927
Nikita;Victorovich;Rzhevskiy;1981;39;68669
Maxim;Victorovich;Petrov;1989;31;85906
Victor;Nikolaevich;Dmitriev;1912;108;83819
Svaytoslav;Petrovich;Moryashov;1972;48;77736
Svaytoslav;Vitalievich;Rogkov;2005;15;15799
Boris;Victorovich;Ivanov;1958;62;4214
Arnold;Vladimirovich;Petrov;1936;84;98205
Arnold;Stanislavovich;Petrov;1950;70;95553
Arkady;Svytoslavich;Fedoro;1941;79;5096
Denis;Olegovich;Petrov;1934;86;30091
Evgeniy;Stanislavovich;Petrov;1938;82;13647
Stanislav;Petrovich;Nikitin;1979;41;10690
Artem;Victorovich;Lisev;1916;104;28250
Alex;Olegovich;Borisov;2005;15;8120
Evgeniy;Evgenievich;Moryashov;1978;42;59477
Vladislav;Olegovich;Kamishev;1935;85;4229
Vitaliy;Ivanovich;Koshkin;1997;23;27246
Andrey;Svytoslavich;Eliseev;1932;88;5294
Vladislav;Svytoslavich;Volkov;1983;37;97604
Stanislav;Olegovich;Lisev;2014;6;66512
Stanislav;Vladimirovich;Volkov;1968;52;29099
Stanislav;Dmitrievich;Sobolev;1988;32;84380
Slava;Borisovich;Ivanov;1964;56;60463
Nikita;Vladimirovich;Moryashov;1992;28;87383
Nikita;Borisovich;Moryashov;1943;77;78423
Ivan;Petrovich;Krasnov;1953;67;99319
Vasiliy;Vasilievich;Ivanov;1985;35;25888
Peter;Ivanovich;Nikitin;2004;16;76329
Dmitriy;Ivanovich;Petrov;2015;5;8499
George;Evgenievich;Borisov;2006;14;40870
Rustam;Vasilievich;Krasnov;2000;20;94518
Maxim;Nikolaevich;Moryashov;1915;105;65605
Boris;Evgenievich;Moryashov;1932;88;41438
Victor;Stanislavovich;Rzhevskiy;1910;110;10525
Rustam;Vladimirovich;Lisev;2000;20;85351
Georgiy;Olegovich;Borisov;1961;59;99511
Boris;Svytoslavich;Koshkin;1952;68;58043
Andrey;Svytoslavich;Volkov;2014;6;50914
Rustam;Stanislavovich;Rogkov;1919;101;15118
Stanislav;Dmitrievich;Lisev;1961;59;62913
Victor;Dmitrievich;Moryashov;1925;95;28070
Arseny;Vasilievich;Kamishev;1934;86;10733
Anton;Ivanovich;Ivanov;1973;47;77056
Vasiliy;Evgenievich;Volkov;2009;11;52171
Stanislav;Vladimirovich;Dmitriev;1944;76;41441
Yuriy;Borisovich;Volkov;1957;63;72417
Oleg;Dmitrievich;Petrov;1992;28;84698
Svaytoslav;Svytoslavich;Dmitriev;1920;100;41529
Peter;Svytoslavich;Ribin;1935;85;31031
Ivan;Svytoslavich;Nikitin;1939;81;20593
Peter;Svytoslavich;Petrov;1965;55;96368
Arseny;Vasilievich;Ribin;1929;91;48191
Artem;Vitalievich;Fedoro;2013;7;27744
Georgiy;Borisovich;Rzhevskiy;1979;41;79506
Vladimir;Ivanovich;Victorov;2014;6;85946
Anton;Vitalievich;Victorov;2011;9;49125
Nikolay;Borisovich;Petrov;1941;79;38386
Svaytoslav;Ivanovich;Koshkin;1925;95;97497
Nikolay;Nikolaevich;Ribin;1955;65;75533
Peter;Dmitrievich;Koshkin;1984;36;52742
Arseny;Borisovich;Victorov;1964;56;87044
Ivan;Evgenievich;Artemov;1934;86;6674
Stanislav;Olegovich;Nikitin;1931;89;95678
Vladislav;Victorovich;Victorov;1984;36;78612
Nikita;Olegovich;Rzhevskiy;1938;82;10544
Dmitriy;Olegovich;Sobolev;2008;12;35941
Bohdan;Svytoslavich;Lisev;1985;35;88753
German;Vasilievich;Krasnov;1939;81;48283
Anton;Borisovich;Rogkov;1992;28;48667
Arseny;Petrovich;Victorov;1948;72;5413
Nikita;Victorovich;Volkov;1941;79;21124
Victor;Nikolaevich;Okunevskiy;1937;83;40382
Ivan;Olegovich;Moryashov;1996;24;19684
Artem;Victorovich;Koshkin;1980;40;80455
Peter;Vladimirovich;Kamishev;1988;32;19754
Arkady;Nikolaevich;Eliseev;1913;107;13083
Nikolay;Petrovich;Borisov;1968;52;21887
Nikolay;Vladimirovich;Petrov;1955;65;13370
Vitaliy;Borisovich;Artemov;1939;81;98794
Nikita;Dmitrievich;Victorov;1987;33;47093
Georgiy;Svytoslavich;Artemov;1999;21;51722
Nikolay;Borisovich;Borisov;1921;99;50956
Bohdan;Vitalievich;Dmitriev;1959;61;91888
George;Svytoslavich;Okunevskiy;1982;38;12253
Arnold;Dmitrievich;Victorov;1970;50;79128
German;Borisovich;Eliseev;1961;59;35966
Boris;Petrovich;Volkov;1979;41;55760
Artem;Borisovich;Nikitin;1911;109;10925
Dmitriy;Ivanovich;Victorov;1955;65;70760
Boris;Dmitrievich;Artemov;2004;16;80663
Stanislav;Olegovich;Lisev;1925;95;60686
Vladimir;Evgenievich;Artemov;1952;68;1239
Vitaliy;Olegovich;Borisov;1926;94;1654
Anton;Olegovich;Krasnov;1934;86;40556
Bohdan;Dmitrievich;Volkov;1965;55;33530
Victor;Stanislavovich;Victorov;1941;79;53352
Andrey;Ivanovich;Lisev;1984;36;46034
Vladislav;Vasilievich;Ribin;1923;97;66472
Ivan;Ivanovich;Sobolev;1921;99;68950
Arseny;Ivanovich;Dmitriev;1981;39;41850
Svaytoslav;Dmitrievich;Rzhevskiy;1950;70;87795
Anton;Evgenievich;Volkov;1989;31;63060
German;Borisovich;Okunevskiy;1917;103;74358
German;Ivanovich;Rzhevskiy;1996;24;27393
George;Olegovich;Sobolev;1993;27;41380
Maxim;Olegovich;Artemov;1936;84;31861
Stanislav;Stanislavovich;Krasnov;1983;37;64333
Dmitriy;Vladimirovich;Kamishev;1945;75;30762
Peter;Svytoslavich;Victorov;2015;5;23621
Maxim;Stanislavovich;Rogkov;1974;46;27100
Oleg;Svytoslavich;Eliseev;1912;108;70055
Svaytoslav;Dmitrievich;Eliseev;1951;69;52394
Arkady;Petrovich;Dmitriev;1913;107;67177
George;Svytoslavich;Borisov;1994;26;2264
Vladimir;Petrovich;Eliseev;1941;79;79403
Arseny;Vitalievich;Victorov;1969;51;40559
Vasiliy;Svytoslavich;Petrov;1983;37;16183
Alex;Vitalievich;Eliseev;2007;13;75658
George;Ivanovich;Sobolev;1939;81;73345
Denis;Ivanovich;Fedoro;1998;22;61290
Victor;Ivanovich;Kamishev;1951;69;94799
Stanislav;Stanislavovich;Borisov;1926;94;92989
Artem;Stanislavovich;Ivanov;1982;38;74239
Vasiliy;Stanislavovich;Nikitin;1935;85;73213
Denis;Victorovich;Okunevskiy;1970;50;89178
Arkady;Stanislavovich;Eliseev;1990;30;15192
Yuriy;Olegovich;Koshkin;1977;43;71678
Arseny;Olegovich;Petrov;1953;67;60362
Arnold;Vasilievich;Rogkov;1973;47;33573
Vladislav;Svytoslavich;Eliseev;1918;102;9564
Denis;Nikolaevich;Volkov;1921;99;41496
Boris;Vladimirovich;Dmitriev;1934;86;26132
Svaytoslav;Olegovich;Okunevskiy;1959;61;41169
Vitaliy;Evgenievich;Eliseev;1947;73;72304
Vladislav;Stanislavovich;Okunevskiy;1985;35;23563
Vasiliy;Ivanovich;Eliseev;1972;48;1510
Arnold;Vasilievich;Kamishev;2007;13;70238
Vitaliy;Dmitrievich;Victorov;1961;59;60676
Dmitriy;Svytoslavich;Sobolev;2019;1;73992
Dmitriy;Nikolaevich;Krasnov;2015;5;70662
Yuriy;Olegovich;Krasnov;1977;43;66298
Denis;Dmitrievich;Ribin;2004;16;62849
Andrey;Petrovich;Nikitin;2008;12;57390
Maxim;Olegovich;Moryashov;2001;19;67027
Arkady;Vasilievich;Kamishev;1982;38;70876
Dmitriy;Borisovich;Eliseev;2017;3;83535
Georgiy;Dmitrievich;Fedoro;1942;78;94778
Arkady;Ivanovich;Fedoro;2005;15;43089
Stanislav;Olegovich;Rogkov;1952;68;37473
George;Stanislavovich;Ribin;1990;30;73604
Rustam;Petrovich;Kamishev;1979;41;32767
Boris;Stanislavovich;Krasnov;1963;57;66838
Maxim;Dmitrievich;Petrov;1925;95;45396
Peter;Stanislavovich;Okunevskiy;1939;81;81759
Svaytoslav;Olegovich;Sobolev;1937;83;49714
Alex;Vitalievich;Sobolev;1950;70;48179
Bohdan;Dmitrievich;Dmitriev;1920;100;52073
Victor;Victorovich;Rzhevskiy;1991;29;56395
Dmitriy;Olegovich;Kamishev;1956;64;64342
Oleg;Olegovich;Rzhevskiy;2010;10;48298
Artem;Vitalievich;Rogkov;1952;68;74462
Maxim;Svytoslavich;Ivanov;2000;20;75789
Boris;Ivanovich;Petrov;1939;81;62569
Yuriy;Vladimirovich;Victorov;1963;57;75188
George;Svytoslavich;Krasnov;2016;4;40168
Maxim;Olegovich;Borisov;1976;44;34736
Evgeniy;Borisovich;Rzhevskiy;1956;64;8127
Svaytoslav;Evgenievich;Krasnov;1964;56;18427
George;Ivanovich;Okunevskiy;1941;79;98956
Arseny;Vasilievich;Lisev;1953;67;65758
Nikita;Olegovich;Victorov;1994;26;52571
Bohdan;Olegovich;Moryashov;1915;105;26355
Maxim;Victorovich;Victorov;1941;79;35190
Nikita;Borisovich;Fedoro;1945;75;22983
Bohdan;Ivanovich;Ribin;1999;21;10339
George;Ivanovich;Volkov;1931;89;78710
Andrey;Vladimirovich;Petrov;1992;28;71929
George;Petrovich;Volkov;1922;98;6888
Yuriy;Nikolaevich;Lisev;1943;77;14496
Anton;Vladimirovich;Eliseev;1975;45;57954
Nikita;Stanislavovich;Eliseev;1973;47;7177
Georgiy;Nikolaevich;Rogkov;2019;1;57954
Georgiy;Ivanovich;Sobolev;1966;54;18723
George;Svytoslavich;Artemov;1984;36;72325
Alex;Stanislavovich;Sobolev;2015;5;73064
Dmitriy;Ivanovich;Dmitriev;1924;96;97393
Artem;Victorovich;Moryashov;1995;25;61259
Arkady;Vladimirovich;Kamishev;2004;16;33780
Ivan;Dmitrievich;Kamishev;2017;3;58439
Vasiliy;Dmitrievich;Lisev;1953;67;43086
Oleg;Borisovich;Borisov;2006;14;56367
Nikita;Ivanovich;Fedoro;1929;91;43940
Georgiy;Ivanovich;Rzhevskiy;1996;24;85613
Rustam;Vasilievich;Ribin;1915;105;78841
Georgiy;Ivanovich;Fedoro;1983;37;28968
Peter;Olegovich;Dmitriev;2002;18;91177
Vladislav;Olegovich;Koshkin;1985;35;81783
Denis;Evgenievich;Artemov;1919;101;5072
George;Borisovich;Borisov;1976;44;58052
Maxim;Victorovich;Volkov;2006;14;11954
Denis;Nikolaevich;Koshkin;1947;73;35856
Vladimir;Vladimirovich;Fedoro;1996;24;49076
Dmitriy;Olegovich;Volkov;1972;48;44523
Alex;Petrovich;Borisov;1976;44;19553
German;Victorovich;Ribin;1972;48;81209
Evgeniy;Evgenievich;Rogkov;1931;89;62999
Arnold;Borisovich;Rzhevskiy;1990;30;69063
Svaytoslav;Svytoslavich;Okunevskiy;2018;2;53288
Vitaliy;Stanislavovich;Krasnov;1980;40;95068
George;Vladimirovich;Artemov;1932;88;87597
Peter;Olegovich;Eliseev;1986;34;55681
Svaytoslav;Evgenievich;Kamishev;1975;45;51393
Anton;Nikolaevich;Rzhevskiy;2008;12;55110
Vitaliy;Nikolaevich;Ribin;1999;21;9982
Ivan;Borisovich;Volkov;1993;27;6524
Victor;Nikolaevich;Petrov;1950;70;625
Vitaliy;Petrovich;Eliseev;1949;71;43940
Vasiliy;Borisovich;Volkov;1945;75;93429
Vladislav;Petrovich;Okunevskiy;1974;46;23639
Georgiy;Ivanovich;Moryashov;1982;38;65782
Yuriy;Ivanovich;Artemov;1929;91;41987
Artem;Evgenievich;Okunevskiy;1912;108;7327
Nikolay;Svytoslavich;Lisev;2012;8;83233
George;Ivanovich;Volkov;2011;9;52195
Vasiliy;Borisovich;Koshkin;1992;28;99572
Vitaliy;Nikolaevich;Dmitriev;1923;97;35544
Victor;Evgenievich;Ivanov;2013;7;78121
Evgeniy;Victorovich;Rogkov;1977;43;4403
Dmitriy;Petrovich;Krasnov;1924;96;28641
Oleg;Vladimirovich;Lisev;1966;54;91146
Bohdan;Olegovich;Okunevskiy;1972;48;93972
Alex;Vladimirovich;Kamishev;1956;64;94030
Vladislav;Ivanovich;Nikitin;1989;31;4895
Victor;Ivanovich;Fedoro;1911;109;15741
Anton;Vladimirovich;Rzhevskiy;1970;50;34934
Vladimir;Dmitrievich;Victorov;1970;50;79
Yuriy;Dmitrievich;Ribin;1998;22;20874
German;Vasilievich;Rogkov;2006;14;91512
Anton;Stanislavovich;Fedoro;1977;43;64348
Oleg;Evgenievich;Borisov;1925;95;34733
Arkady;Victorovich;Eliseev;2013;7;80642
Vasiliy;Dmitrievich;Ivanov;2013;7;44032
Stanislav;Stanislavovich;Nikitin;1946;74;76067
Slava;Evgenievich;Nikitin;1979;41;17764
Boris;Dmitrievich;Volkov;1993;27;76705
Arseny;Vitalievich;Koshkin;1964;56;64091
Nikolay;Vladimirovich;Nikitin;1935;85;62123
Dmitriy;Evgenievich;Lisev;2017;3;52742
Dmitriy;Petrovich;Koshkin;1925;95;39786
Ivan;Vladimirovich;Fedoro;1915;105;26526
Vladislav;Borisovich;Lisev;1974;46;92260
Oleg;Nikolaevich;Rogkov;1979;41;8072
Vasiliy;Ivanovich;Borisov;1957;63;2059
Slava;Evgenievich;Koshkin;1918;102;34296
Arseny;Dmitrievich;Ribin;1974;46;71037
Peter;Stanislavovich;Ivanov;1940;80;56099
Svaytoslav;Stanislavovich;Rzhevskiy;1970;50;64510
George;Evgenievich;Lisev;1915;105;65843
Stanislav;Victorovich;Rzhevskiy;1936;84;88082
Arnold;Petrovich;Rogkov;1912;108;73293
Artem;Vladimirovich;Koshkin;1981;39;8984
Nikita;Nikolaevich;Fedoro;1992;28;53920
Victor;Nikolaevich;Ribin;1987;33;27134
Yuriy;Nikolaevich;Fedoro;1937;83;54716
Vladimir;Olegovich;Artemov;1952;68;45646
Arkady;Nikolaevich;Koshkin;1927;93;73979
German;Svytoslavich;Nikitin;1949;71;49513
Georgiy;Svytoslavich;Borisov;1986;34;45893
German;Ivanovich;Kamishev;1927;93;36344
Artem;Ivanovich;Rzhevskiy;2008;12;70265
Boris;Vitalievich;Victorov;1962;58;17600
Artem;Vladimirovich;Koshkin;1912;108;45136
